1,1,1,11,12,16,14,14,17,1
2,3,1,16,13,12,10,13,12,0
3,3,1,14,15,12,15,14,8,1
4,1,1,14,14,10,11,12,10,0
5,4,1,13,11,13,14,17,15,0
6,6,1,19,14,12,9,15,11,1
7,7,1,8,20,12,13,10,13,1
8,4,1,15,17,12,15,11,13,1
9,5,1,13,13,10,11,11,13,1
10,1,1,13,11,13,10,17,10,1
11,7,1,15,12,13,13,12,10,1
1,6,2,18,13,15,13,13,12,1
2,1,2,12,14,13,11,12,14,0
3,1,2,13,12,16,12,12,13,1
4,5,2,14,16,12,12,13,14,1
5,3,2,12,15,11,13,13,17,0
6,6,2,15,12,14,13,13,9,1
7,7,2,14,16,15,10,12,11,1
8,3,2,12,16,10,16,15,10,0
9,1,2,12,17,14,11,16,10,1
10,1,2,16,14,10,10,12,11,1
11,5,2,13,18,13,11,11,13,1
1,1,3,14,11,17,10,13,12,1
2,7,3,12,15,17,12,15,16,0
3,3,3,11,13,13,11,10,12,0
4,4,3,13,15,15,12,16,18,1
5,3,3,14,11,12,14,11,10,0
6,5,3,11,14,11,11,14,10,1
7,2,3,12,18,17,11,12,16,1
8,2,3,11,18,13,16,10,12,0
9,6,3,15,13,11,11,15,11,1
10,1,3,14,15,11,10,14,10,1
11,1,3,13,12,10,12,14,12,0
1,2,4,16,12,12,15,13,10,1
2,7,4,10,19,11,15,11,10,0
3,4,4,9,14,13,10,18,12,0
4,4,4,12,14,13,11,12,15,1
5,1,4,11,15,14,14,11,17,1
6,2,4,15,11,16,12,14,11,1
7,5,4,14,19,13,13,15,16,1
8,1,4,10,15,14,14,13,12,0
9,1,4,14,20,16,11,18,10,1
10,6,4,19,10,14,10,13,10,1
11,2,4,12,16,13,11,10,15,1
1,6,5,18,10,14,14,12,11,1
2,1,5,13,14,14,13,10,12,0
3,1,5,15,11,11,13,15,13,1
4,3,5,14,16,15,11,16,12,1
5,3,5,14,15,11,15,15,16,0
6,1,5,16,11,13,11,12,13,1
7,7,5,15,16,11,16,12,11,1
8,5,5,11,12,13,16,14,11,0
9,1,5,13,15,12,11,16,15,1
10,1,5,17,11,17,14,15,12,1
11,3,5,10,19,10,12,15,14,1
1,1,6,15,10,12,11,14,14,1
2,5,6,14,17,10,13,10,13,0
3,1,6,11,11,17,12,14,11,1
4,2,6,17,11,20,12,15,14,1
5,1,6,14,12,11,10,11,18,0
6,6,6,18,11,14,11,11,12,1
7,3,6,18,20,10,11,14,18,1
8,4,6,9,13,16,16,13,10,0
9,3,6,17,14,14,15,15,10,1
10,1,6,10,14,10,10,17,13,1
11,3,6,16,16,9,11,12,15,1
1,2,7,14,13,18,11,12,11,1
2,3,7,12,17,14,14,11,14,0
3,1,7,13,12,13,15,15,11,0
4,5,7,11,12,16,10,12,11,1
5,3,7,13,19,15,15,14,11,0
6,6,7,18,14,11,8,16,8,0
7,3,7,14,14,14,10,11,16,1
8,1,7,10,15,15,17,12,13,1
9,3,7,15,17,15,10,12,13,1
10,1,7,14,10,16,12,14,12,1
11,3,7,14,13,15,12,13,11,1
