1,1,1,20,10,12,10,11,17,1
2,3,1,18,13,12,10,13,12,0
3,3,1,13,10,13,10,14,18,1
4,1,1,15,14,18,18,12,10,1
5,4,1,17,11,14,14,17,18,0
6,6,1,13,14,12,15,10,17,1
7,7,1,18,14,11,13,10,18,1
8,4,1,18,10,17,15,11,17,0
9,5,1,10,15,10,15,19,17,1
10,1,1,18,15,10,14,13,15,1
11,7,1,10,20,10,15,14,15,1
1,6,2,13,18,10,10,10,15,1
2,1,2,12,10,17,15,15,18,0
3,1,2,11,17,16,10,14,14,1
4,5,2,10,10,10,12,13,14,0
5,3,2,10,18,16,10,10,20,0
6,6,2,10,12,10,15,16,16,1
7,7,2,20,10,10,10,16,19,1
8,3,2,16,18,13,20,12,16,0
9,1,2,18,13,10,11,14,16,1
10,1,2,10,14,18,10,18,14,1
11,5,2,17,10,10,14,15,18,1
1,1,3,12,18,15,8,10,18,1
2,7,3,17,10,12,16,12,20,0
3,3,3,18,10,10,13,10,12,1
4,4,3,18,10,10,16,14,8,1
5,3,3,20,10,10,17,11,16,0
6,5,3,20,9,18,8,10,15,1
7,2,3,17,12,13,16,16,10,1
8,2,3,18,10,17,20,15,8,0
9,6,3,10,20,15,17,18,14,1
10,1,3,13,12,14,13,16,16,1
11,1,3,10,10,10,17,14,8,0
1,2,4,10,13,12,9,10,8,0
2,7,4,16,14,17,16,11,12,0
3,4,4,10,10,10,10,10,10,0
4,4,4,10,8,8,11,12,15,0
5,1,4,17,18,14,10,9,20,1
6,2,4,20,18,16,14,18,20,1
7,5,4,10,12,8,10,12,13,0
8,1,4,10,15,14,14,13,10,0
9,1,4,10,20,10,9,18,16,1
10,6,4,12,18,10,10,15,10,1
11,1,4,18,13,10,15,15,11,1
1,3,5,13,16,10,14,10,15,1
2,3,5,10,12,10,18,14,14,0
3,3,5,17,20,15,17,12,18,1
4,1,5,12,12,12,11,20,8,1
5,3,5,10,17,15,9,15,20,1
6,6,5,9,11,8,15,11,11,0
7,1,5,10,16,10,16,15,18,0
8,5,5,11,17,15,20,10,8,1
9,3,5,16,18,19,10,10,8,1
10,6,5,14,18,10,10,10,18,1
11,3,5,19,10,10,16,12,10,1
1,2,6,19,15,17,16,10,10,1
2,5,6,17,14,14,15,18,12,0
3,2,6,18,15,14,18,19,20,1
4,1,6,10,18,20,10,15,8,1
5,1,6,16,10,13,17,19,18,0
